species,locality,country,sex,number
Phratora polaris W,Valtimo,Finland,Male,13
Phratora polaris W,Valtimo,Finland,Female,24
Phratora polaris B,Kevo,Finland,Female,28
Phratora polaris B,Kevo,Finland,Male,18
Phratora tibialis,Langenei,Germany,Female,10
Phratora tibialis,Langenei,Germany,Male,4
Phratora aklaviki,Wilderness,Alaska,Female,28
Phratora aklaviki,Wilderness,Alaska,Male,13
Phratora laticollis 1,Xhoffraix,Belgium,Male,17
Phratora laticollis 1,Xhoffraix,Belgium,Female,30
Phratora laticollis 2,Bergen op Zoom,Holland,Male,49
Phratora laticollis 2,Bergen op Zoom,Holland,Female,41
